datetime,Americano,Americano with Milk,Cappuccino,Cocoa,Cortado,Espresso,Hot Chocolate,Latte
2024-03-15,1,0,0,0,0,0,1,1
2024-03-16,1,2,0,0,3,0,0,0
2024-03-17,0,0,0,0,1,0,0,1
2024-03-18,3,0,0,0,1,0,0,0
2024-03-19,0,1,0,0,1,0,2,2
2024-03-20,0,0,1,1,2,0,0,2
2024-03-21,1,0,2,0,2,0,0,1
2024-03-22,2,2,1,0,0,1,0,0
2024-03-23,0,3,1,1,1,0,0,2
2024-03-24,0,0,0,0,0,0,0,2
2024-03-25,0,2,1,0,0,0,0,3
2024-03-26,2,0,0,1,3,0,1,4
2024-03-27,1,2,1,0,2,0,1,1
2024-03-28,1,0,0,0,2,0,0,1
2024-03-29,0,0,3,0,0,0,0,1
2024-03-30,0,1,1,0,0,0,0,3
2024-03-31,1,0,1,0,0,0,0,0
2024-04-01,1,4,1,0,0,0,1,0
2024-04-02,1,0,1,0,1,0,0,1
2024-04-03,1,0,1,0,2,0,0,0
2024-04-04,0,0,1,0,1,0,0,3
2024-04-05,3,1,1,1,2,1,0,2
2024-04-06,1,1,1,0,0,0,0,1
2024-04-07,0,1,2,0,1,1,1,1
2024-04-08,2,3,3,0,0,1,0,1
2024-04-09,1,0,1,0,0,0,2,1
2024-04-10,0,0,1,0,0,2,1,1
2024-04-11,2,1,1,0,0,0,0,1
2024-04-12,0,0,0,0,1,0,1,0
2024-04-13,1,0,3,0,0,0,2,2
2024-04-14,3,1,3,0,4,0,0,2
2024-04-15,2,2,0,0,0,1,0,0
2024-04-16,1,3,1,2,1,0,0,0
2024-04-17,1,0,3,0,1,1,0,0
2024-04-18,2,1,2,0,1,0,2,2
2024-04-19,0,2,2,1,0,0,1,1
2024-04-20,1,7,3,1,0,0,1,1
2024-04-21,1,0,1,0,0,0,0,1
2024-04-22,1,1,1,0,0,0,0,2
2024-04-23,0,3,2,0,0,0,0,0
2024-04-24,0,6,1,0,0,0,0,1
2024-04-25,3,0,0,0,0,0,0,1
2024-04-26,3,0,1,1,1,0,1,2
2024-04-27,0,0,1,0,0,0,0,0
2024-04-28,2,0,1,0,0,0,0,2
2024-04-29,1,1,3,0,3,0,0,0
2024-04-30,1,4,1,0,0,0,0,2
2024-05-01,0,0,0,0,0,0,0,0
2024-05-02,1,2,2,0,0,0,0,2
2024-05-03,0,0,0,0,0,0,0,3
2024-05-04,0,0,0,0,0,0,0,0
2024-05-05,0,0,0,0,0,0,0,0
2024-05-06,4,1,3,0,2,0,0,0
2024-05-07,1,1,3,2,2,0,0,1
2024-05-08,0,0,0,0,0,0,0,1
2024-05-09,4,1,1,0,0,0,0,3
2024-05-10,0,1,0,0,0,0,0,3
2024-05-11,0,2,2,1,0,0,0,3
2024-05-12,1,4,0,0,0,0,0,3
2024-05-13,2,1,0,0,0,0,0,0
2024-05-14,4,2,4,0,0,0,1,1
2024-05-15,5,1,1,0,2,2,0,1
2024-05-16,0,3,1,0,0,0,2,3
2024-05-17,2,3,2,0,0,0,0,2
2024-05-18,0,4,3,0,0,0,0,1
2024-05-19,3,3,4,0,0,2,1,0
2024-05-20,5,5,1,1,1,0,0,4
2024-05-21,1,1,2,1,0,1,0,3
2024-05-22,2,3,4,0,1,0,1,0
2024-05-23,0,1,9,0,1,1,1,3
2024-05-24,2,1,0,0,3,0,1,0
2024-05-25,3,4,0,0,0,0,0,1
2024-05-26,1,2,4,0,2,0,3,3
2024-05-27,4,2,1,1,0,0,0,3
2024-05-28,2,3,3,1,1,0,0,1
2024-05-29,1,0,1,1,1,0,2,5
2024-05-30,0,3,2,0,0,2,1,3
2024-05-31,0,4,2,1,1,0,1,5
2024-06-01,0,4,2,2,1,0,0,2
2024-06-02,0,3,1,0,0,0,0,2
2024-06-03,0,3,1,0,0,0,0,3
2024-06-04,0,5,2,0,3,0,2,2
2024-06-05,1,2,2,1,1,0,0,2
2024-06-06,1,4,2,0,0,0,0,4
2024-06-07,0,1,1,0,2,1,0,0
2024-06-08,0,1,2,0,1,0,0,0
2024-06-09,1,2,3,0,2,1,0,4
2024-06-10,0,0,1,0,0,0,2,3
